Event ops:
math_ops            1.213e+10
read_ops            4.177e+07
overhead_math_ops   2.042e+08
overhead_read_ops   1.807e+08
overhead_write_ops  1.78e+08
Conventional ops:
math_ops            1.533e+11
read_ops            5.147e+07
overhead_math_ops   0
overhead_read_ops   0
overhead_write_ops  0
